stop_id,stop_name,stop_lat,stop_lon
22059,Johnsonville School - Ohariu Road,-41.218912,174.804651
22060,Ohariu Road at Hallewell Cres (near 67),-41.217283,174.802233
22061,Branscombe Street (near 5),-41.215987,174.802174
22062,Branscombe Street at Ironside Road,-41.217668,174.800037
22063,Erris Street at Ironside Road (near 101),-41.219162,174.799004
22064,Erris Street at Tatum Way (near 27),-41.218313,174.797370
22066,Erris Street at Cortina Avenue (near 61),-41.218412,174.795083
22067,Cortina Avenue at Stonefield Place (near 54),-41.219280,174.796001
22068,Cortina Avenue at Safari Crescent (near 42),-41.220926,174.796714
22069,Cortina Avenue (near 20),-41.222401,174.798042
22070,Truscott Avenue at Fairburn Grove,-41.226289,174.795882
22071,McLintock Street at Truscott Avenue (near 3),-41.227103,174.792766
22072,McLintock St at Meadowcroft Grove,-41.225307,174.793576
22073,McLintock Street at Norwood Place (near 59),-41.223480,174.791773
22074,Johnsonville West - McLintock Street,-41.221348,174.792157
22076,McLintock St at Meadowcroft Grove (opposite),-41.225225,174.794242
22077,Truscott Avenue at Elliott Street,-41.227269,174.793701
22078,Truscott Avenue at Fairburn Gr (near 18),-41.225726,174.795628
22079,Truscott Avenue (near 102),-41.224079,174.797265
22531,Broderick Road (Hail and Ride),-41.224150,174.800822
10614,Johnsonville Station - Stop A,-41.223429,174.804906
10574,Johnsonville Road (Burger King),-41.225731,174.806877
10921,Main Road Tawa at Dressmart (opposite),-41.183707,174.824553
10955,Redwood Village - Main Road (opposite),-41.179319,174.824658
10956,Main Road Tawa at Redwood Ave (near 85),-41.177528,174.825133
10994,Main Road Tawa at Elena Place (near 159),-41.172368,174.824514
11037,Tawa Mall - Main Road (Harcourts),-41.168772,174.824677
11039,Main Road Tawa (near 249),-41.165177,174.826437
11068,Main Road Tawa at McLellan St (opposite),-41.161481,174.827241
11086,Main Road Tawa (near 329),-41.156815,174.828959
11098,Kenepuru Drive at Rahia Street,-41.148704,174.833823
11100,Kenepuru Drive at Ambulance Drive,-41.148398,174.837770
11102,Kenepuru Drive at Bowland (opposite),-41.147505,174.840105
22483,Kenepuru Drive at The Mill (opposite),-41.140395,174.841432
11177,Porirua Station - Stop A,-41.137429,174.843327
11174,Lyttelton Avenue - Ferry Place,-41.135421,174.842163
11246,Lyttelton Avenue - Countdown (opposite),-41.133977,174.840669
11237,Prosser Street (opposite 22),-41.133780,174.832658
11236,Kotuku Street (near 13),-41.132930,174.828870
11234,Kotuku Street (near 45),-41.130460,174.827837
11291,Kotuku Street at Takapuwahai Drive (near 89),-41.127870,174.829302
11292,Takapuwahia Drive at Rangituhi Cres (near 22),-41.126081,174.829110
11295,Takapuwahia Drive at Te Hiko Street (near 60),-41.124251,174.831454
11297,Te Hiko Street (near 8),-41.124086,174.835046
11300,Whitireia Polytechnic - Titahi Bay Road (opposit,-41.124166,174.836835
11338,Titahi Bay Road at Whanga Cres Walkway,-41.119343,174.838786
11468,Main Road at Dimock Street (near 80),-41.109272,174.840554
11528,Dimock Street (near 71),-41.104174,174.844509
11529,Dimock Street (near 99),-41.101268,174.844904
11552,Dimock Street (near 141),-41.099336,174.842338
11526,Thornley Street at Dimock Street (near 28),-41.100015,174.839832
11463,Titahi Bay Library - Tireti Road,-41.108297,174.836145
11393,Te Pene Avenue at Te Puke Street (near 75),-41.112413,174.837902
11396,Te Pene Avenue at Piko Street (near 125),-41.116429,174.838550
11182,Mungavin Park - Mungavin Avenue,-41.139198,174.851013
11185,Mungavin Avenue at Gear Terrace (near 41),-41.139768,174.853078
11134,Mungavin Avenue (near 69),-41.140938,174.855375
11136,Trust Porirua Park - Mungavin Avenue (opposite),-41.142941,174.856861
11137,Mungavin Avenue at Sievers Gr (near 145),-41.141910,174.858273
11139,Holy Family School - Mungavin Avenue,-41.140230,174.859680
11145,Mungavin Avenue at Bedford St (near 201),-41.140947,174.863787
11151,Cannons Creek Shops - Warspite Avenue (opposite),-41.140852,174.866310
11196,Warspite Avenue at Castor Crescent (near 51),-41.139206,174.868992
11198,Calliope Park - Warspite Avenue,-41.137869,174.870336
22855,Warspite Ave at Fantame St (School stop),-41.136909,174.872310
11201,Warspite Avenue (near 115),-41.135920,174.874474
11210,Warspite Avenue (near 165),-41.133857,174.879467
11254,Warspite Avenue (near 183),-41.132402,174.879759
11256,Waitangirua Mall - Warspite Avenue,-41.129093,174.880011
22941,Warspite Avenue (near 305),-41.126377,174.880267
11306,Warspite Avenue at Penguin Gr (near 335),-41.124649,174.880754
11304,Warspite Avenue (near 367),-41.122495,174.879144
11351,Conclusion Street (near 7),-41.120983,174.876350
11350,Conclusion Street (near 47),-41.118353,174.875192
11346,Rangikura School - Conclusion Street,-41.117671,174.871182
