service_id,date,exception_type
74,20160607,1
74,20160608,1
74,20160609,1
74,20160610,1
74,20160611,2
74,20160612,2
74,20160613,1
74,20160614,1
74,20160615,1
74,20160616,1
74,20160617,1
74,20160618,2
74,20160619,2
74,20160620,1
74,20160621,1
74,20160622,1
74,20160623,1
74,20160624,1
48,20160603,2
48,20160604,2
48,20160605,2
48,20160606,2
48,20160607,2
48,20160608,2
48,20160609,2
48,20160610,2
48,20160611,2
48,20160612,2
48,20160613,2
48,20160614,2
48,20160615,2
48,20160616,2
48,20160617,2
48,20160618,2
48,20160619,2
48,20160620,2
48,20160621,2
48,20160622,2
48,20160623,2
48,20160624,2
49,20160329,1
49,20160330,1
49,20160331,2
49,20160401,1
49,20160402,2
49,20160403,2
49,20160404,2
49,20160405,1
49,20160406,1
49,20160407,2
49,20160408,1
49,20160409,2
49,20160410,2
49,20160411,2
49,20160412,1
49,20160413,1
49,20160414,2
49,20160415,1
49,20160416,2
49,20160417,2
49,20160418,2
49,20160419,1
49,20160420,1
49,20160421,2
49,20160422,1
49,20160423,2
49,20160424,2
49,20160425,2
49,20160426,1
49,20160427,1
49,20160428,2
49,20160429,1
49,20160430,2
49,20160501,2
49,20160502,2
49,20160503,1
49,20160504,1
49,20160505,2
49,20160506,1
49,20160507,2
49,20160508,2
49,20160509,2
49,20160510,1
49,20160511,1
49,20160512,2
49,20160513,1
49,20160514,2
49,20160515,2
49,20160516,2
49,20160517,2
49,20160518,1
49,20160519,2
49,20160520,1
49,20160521,2
49,20160522,2
49,20160523,2
49,20160524,1
49,20160525,1
49,20160526,2
49,20160527,1
49,20160528,2
49,20160529,2
49,20160530,2
49,20160531,1
49,20160601,1
49,20160602,2
49,20160603,1
49,20160604,2
49,20160605,2
49,20160606,2
49,20160607,1
49,20160608,1
49,20160609,2
49,20160610,1
49,20160611,2
49,20160612,2
49,20160613,2
49,20160614,1
49,20160615,1
49,20160616,2
49,20160617,1
49,20160618,2
49,20160619,2
49,20160620,2
49,20160621,1
49,20160622,1
49,20160623,2
49,20160624,1
50,20160329,2
50,20160330,2
50,20160331,2
50,20160401,2
50,20160402,2
50,20160403,2
50,20160404,1
50,20160405,2
50,20160406,2
50,20160407,2
50,20160408,2
50,20160409,2
50,20160410,2
50,20160411,1
50,20160412,2
50,20160413,2
50,20160414,2
50,20160415,2
50,20160416,2
50,20160417,2
50,20160418,1
50,20160419,2
50,20160420,2
50,20160421,2
50,20160422,2
50,20160423,2
50,20160424,2
50,20160425,1
50,20160426,2
50,20160427,2
50,20160428,2
50,20160429,2
50,20160430,2
50,20160501,2
50,20160502,1
50,20160503,2
50,20160504,2
50,20160505,2
50,20160506,2
50,20160507,2
50,20160508,2
50,20160509,1
50,20160510,2
50,20160511,2
50,20160512,2
50,20160513,2
50,20160514,2
50,20160515,2
50,20160516,2
50,20160517,2
50,20160518,2
50,20160519,2
50,20160520,2
50,20160521,2
50,20160522,2
50,20160523,1
50,20160524,2
50,20160525,2
50,20160526,2
50,20160527,2
50,20160528,2
50,20160529,2
50,20160530,1
50,20160531,2
50,20160601,2
50,20160602,2
50,20160603,2
50,20160604,2
50,20160605,2
50,20160606,1
50,20160607,2
50,20160608,2
50,20160609,2
50,20160610,2
50,20160611,2
50,20160612,2
50,20160613,1
50,20160614,2
50,20160615,2
50,20160616,2
50,20160617,2
50,20160618,2
50,20160619,2
50,20160620,1
50,20160621,2
50,20160622,2
50,20160623,2
50,20160624,2
51,20160329,1
51,20160330,2
51,20160331,2
51,20160401,2
51,20160402,2
51,20160403,2
51,20160404,2
51,20160405,1
51,20160406,2
51,20160407,2
51,20160408,2
51,20160409,2
51,20160410,2
51,20160411,2
51,20160412,1
51,20160413,2
51,20160414,2
51,20160415,2
51,20160416,2
51,20160417,2
51,20160418,2
51,20160419,1
51,20160420,2
51,20160421,2
51,20160422,2
51,20160423,2
51,20160424,2
51,20160425,2
51,20160426,1
