stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
F01495,"Ecseri út M",47.471213,19.109319,,
F01496,"Ecseri út M",47.47108,19.111328,,
F01497,"Ecseri út M",47.470882,19.111116,,
F01498,"Gyáli út",47.472428,19.095596,,
F01499,"Gyáli út",47.472734,19.096167,,
F01500,"Gyáli út",47.473567,19.096572,,
F01501,"Gyáli út",47.473558,19.097024,,
F01502,"Ferencváros vasútállomás",47.470263,19.089253,,
F01503,"Ferencváros vasútállomás",47.470191,19.088497,,
F01504,"Ferencváros vasútállomás",47.470718,19.090136,,
F01505,"Ferencváros vasútállomás",47.470062,19.088676,,
F01506,"Könyves Kálmán körút",47.469797,19.082991,,
F01507,"Könyves Kálmán körút",47.470202,19.082766,,
F01508,"Mester utca",47.46991,19.084405,,
F01509,"Mester utca",47.46973,19.085041,,
F01511,"Balázs Béla utca",47.476948,19.082625,,
F01512,"Balázs Béla utca",47.476795,19.081921,,
F01513,"Balázs Béla utca",47.476702,19.081703,,
F01514,"Boráros tér H",47.479953,19.067495,,
F01515,"Boráros tér H",47.479593,19.067932,,
F01516,"Boráros tér H (Közraktár utca)",47.481188,19.065299,,
F01517,"Boráros tér H",47.480556,19.065491,,
F01518,"Boráros tér H",47.480199,19.065896,,
F01519,"Boráros tér H",47.479749,19.06624,,
F01520,"Boráros tér",47.479179,19.066433,0,008413
F01525,"Csengettyű utca",47.463516,19.109529,,
F01526,"Csengettyű utca",47.463462,19.109648,,
F01527,"Lágymányosi híd, pesti hídfő H",47.468933,19.073752,,
F01528,"Lágymányosi híd, pesti hídfő H",47.468636,19.073845,,
F01530,"Népliget M",47.475754,19.099738,,
F01531,"Balkán utca",47.474028,19.116041,,
F01532,"Balkán utca",47.473803,19.115802,,
F01533,"Sporttelep",47.47882,19.113507,,
F01534,"Sporttelep",47.47895,19.112757,,
F01535,"Fertő utca",47.476056,19.119142,,
F01536,"Bihari utca",47.476239,19.118459,,
F01537,"Bihari utca",47.475258,19.120023,,
F01538,"Fertő utca",47.475798,19.11887,,
F01539,"Basa utca",47.47063,19.126477,,
F01540,"Kőér utca",47.470321,19.126762,,
F01541,"Határ út",47.465789,19.124965,0,008076
F01542,"Határ út",47.465357,19.125853,0,008076
F01543,"Kőbánya-Kispest",47.464099,19.147259,0,008075
F01544,"Kőbánya-Kispest",47.463486,19.148837,0,008075
F01545,"Felsőcsatári út",47.457343,19.177797,,
F01546,"Hangár utca",47.461781,19.166852,,
F01547,"Gyömrői út 105.",47.463142,19.163526,,
F01548,"Gyömrői út 132.",47.463654,19.161982,,
F01549,"Hangár utca",47.463583,19.177912,,
F01550,"Árpád utca",47.464014,19.178125,,
F01551,"Álmos utca",47.467639,19.178598,,
F01552,"Álmos utca",47.467009,19.178769,,
F01553,"Bogáncsvirág utca",47.483604,19.196252,,
F01554,"Csillagvirág utca",47.483514,19.196305,,
F01555,"Kőbánya felső vasútállomás",47.492542,19.13363,,
F01556,"IV. kapu",47.492041,19.130524,,
F01557,"II. kapu",47.491596,19.123808,,
F01558,"Vásárközpont, főbejárat",47.4931,19.121036,,
F01559,"Pongrácz úti lakótelep",47.490806,19.120887,,
F01560,"Pongrácz úti lakótelep",47.490368,19.121384,,
F01561,"Őrház",47.48944,19.124514,,
F01562,"Őrház",47.489475,19.124966,,
F01563,"Egészségház",47.484102,19.116625,,
F01564,"Egészségház",47.483723,19.11754,,
F01565,"Egészségház",47.48402,19.117315,,
F01566,"Egészségház",47.484011,19.117182,,
F01567,"Mázsa utca",47.483135,19.123391,,
F01568,"Mázsa utca",47.483081,19.123285,,
F01569,"Kőbánya alsó vasútállomás",47.483385,19.12647,,
F01570,"Kőbánya alsó vasútállomás",47.483475,19.126257,,
F01571,"Kőbánya alsó vasútállomás (Mázsa tér)",47.482879,19.125786,,
F01572,"Kőbánya alsó vasútállomás (Mázsa tér)",47.482609,19.126077,,
F01573,"Kőbánya alsó vasútállomás (Mázsa tér)",47.481756,19.126985,,
F01574,"Kőbánya alsó vasútállomás (Mázsa tér)",47.481675,19.127024,,
F01575,"Szállás utca",47.478674,19.123424,,
F01576,"Szállás utca",47.478889,19.123876,,
F01577,"Kőér utca",47.473805,19.135139,,
F01578,"Kőér utca",47.473733,19.135046,,
F01579,"Gyömrői út",47.471608,19.141854,,
F01580,"Kada utca",47.471698,19.142186,,
F01581,"Diósgyőri utca",47.470443,19.143835,,
F01582,"Diósgyőri utca",47.470569,19.143783,,
F01583,"Felüljáró",47.465228,19.152435,,
F01584,"Felüljáró (Gyömrői út)",47.465452,19.152793,,
F01585,"Újhegyi út",47.465457,19.157542,,
F01586,"Újhegyi út",47.464799,19.158986,,
F01587,"Hangár utca",47.462501,19.165819,,
F01588,"Újhegyi út, Sportliget",47.468108,19.168664,,
F01589,"Újhegyi út, Sportliget",47.468305,19.169341,,
F01590,"Dolomit utca",47.469565,19.169158,,
F01591,"Maglódi út",47.470307,19.173285,,
F01592,"Maglódi út",47.470531,19.174015,,
F01593,"Új köztemető",47.472523,19.178358,,
F01594,"Új köztemető",47.473283,19.177451,,
F01595,"Új köztemető",47.473243,19.178121,,
F01596,"Új köztemető",47.47339,19.177863,,
F01597,"Új köztemető",47.473037,19.17698,,
F01600,"Gránátos utca",47.481276,19.177504,,
F01601,"Gránátos utca",47.481879,19.177718,,
F01602,"Kozma utca",47.487484,19.179025,,
F01603,"Kozma utca",47.486869,19.179362,,
F01604,"Athenaeum Nyomda",47.487086,19.180762,,
F01605,"Kossuth Nyomda",47.486574,19.187502,,
F01606,"Kossuth Nyomda",47.486549,19.186626,,
F01608,"Tarkarét utca",47.485895,19.191853,,
F01609,"Túzok utca",47.487027,19.192718,,
F01610,"Túzok utca",47.4869,19.193249,,
F01611,"Keresztúri út 102.",47.490913,19.168536,,
F01612,"Keresztúri út 102.",47.490697,19.169212,,
F01613,"Rákos vasútállomás",47.488281,19.174157,,
F01614,"Rákos vasútállomás",47.488297,19.1735,,
